iter	Passed	Remaining
0	157	15568
1	180	8857
2	203	6586
3	228	5473
4	250	4760
5	273	4283
6	296	3939
7	318	3660
8	339	3431
9	361	3257
10	385	3118
11	407	2990
12	431	2890
13	454	2794
14	477	2707
15	501	2631
16	524	2561
17	547	2495
18	570	2432
19	593	2372
20	616	2317
21	637	2261
22	661	2214
23	684	2166
24	706	2119
25	729	2076
26	752	2033
27	775	1994
28	793	1942
29	810	1890
30	826	1840
31	843	1793
32	861	1749
33	880	1709
34	904	1680
35	925	1645
36	947	1613
37	968	1579
38	990	1548
39	1013	1520
40	1031	1484
41	1048	1447
42	1065	1412
43	1081	1376
44	1098	1343
45	1120	1315
46	1137	1283
47	1155	1251
48	1171	1219
49	1188	1188
50	1205	1158
51	1220	1126
52	1238	1097
53	1255	1069
54	1272	1040
55	1289	1013
56	1305	985
57	1322	957
58	1338	930
59	1355	903
60	1372	877
61	1388	850
62	1405	825
63	1421	799
64	1438	774
65	1454	749
66	1470	724
67	1488	700
68	1506	676
69	1522	652
70	1539	628
71	1555	604
72	1571	581
73	1588	558
74	1604	534
75	1621	512
76	1637	488
77	1653	466
78	1670	444
79	1686	421
80	1704	399
81	1721	377
82	1737	355
83	1754	334
84	1771	312
85	1786	290
86	1803	269
87	1819	248
88	1836	226
89	1857	206
90	1882	186
91	1908	165
92	1926	144
93	1943	124
94	1960	103
95	1978	82
96	1995	61
97	2012	41
98	2029	20
99	2046	0
